# time     signal      uncertainty
44.3228,  21276.7042,  146.1030
167.0988,  21894.3017,  147.7210
197.6381,  21919.9831,  148.0499
307.7060,  22071.2114,  148.9692
395.4203,  22413.4263,  149.4251
527.2575,  22454.5175,  149.7880
580.9289,  22948.6296,  149.8802
767.4284,  22496.2573,  150.2712
1065.8622,  22930.1602,  151.4960
1255.3828,  22938.5049,  151.8362
1366.6782,  22527.0476,  151.4749
1426.5562,  22794.6736,  151.0699
1468.9238,  22704.0256,  150.6956
1511.5452,  22586.1183,  150.2507
1601.9381,  22383.8261,  149.1150
1957.6979,  20743.2858,  144.0587
2097.6581,  20484.1777,  142.7233
2139.8548,  20056.4838,  142.4272
2526.9347,  19895.2894,  140.5401
2723.5024,  19335.0445,  139.0816
2776.4074,  18945.8441,  138.6327
2881.4292,  19151.5725,  137.7939
3087.4455,  18836.3699,  136.9745
3354.5131,  19375.6641,  138.6604
3475.2361,  19606.9872,  140.2317
3544.7786,  19792.3787,  141.2094
3603.1038,  20148.0080,  142.0161
3800.0098,  20830.5830,  144.3049
3859.5572,  20989.0625,  144.8171
3898.9215,  21051.1481,  145.1115
3933.3857,  20999.7080,  145.3441
3952.1935,  20810.4387,  145.4626
4116.2862,  21471.4118,  146.3658
4206.6765,  21614.6778,  146.8900
4291.0667,  21669.0183,  147.4809
4513.1698,  22368.7584,  149.5981
4528.4815,  22652.1608,  149.7635
4567.8716,  22575.3970,  150.1891
4617.3499,  22735.0371,  150.7131
4826.3641,  23250.6739,  152.3845
4844.7309,  23161.0653,  152.4633
4853.0491,  23243.5991,  152.4945
5046.9432,  23284.3121,  152.3735
5108.5229,  23287.8216,  152.0092
5208.2592,  22921.6073,  151.1663
5315.9633,  22268.8450,  150.0463
5359.8961,  22357.8655,  149.5700
5524.9773,  21839.5635,  147.9215
5544.4534,  21792.0352,  147.7540
5594.4917,  21796.0763,  147.3556
5735.3850,  21324.2466,  146.4529
5763.9505,  21410.9733,  146.2971
5858.7315,  21369.1096,  145.7909
6048.6461,  20858.0311,  144.4903
6146.1494,  20597.0714,  143.5201
6412.9104,  19549.3265,  139.9876
6494.3296,  19419.2213,  138.9203
6740.3739,  18776.5020,  137.0206
7231.7101,  19478.5168,  139.7724
7335.7135,  19858.9943,  140.5000
7630.2344,  20149.5215,  141.8914
7864.5109,  20486.5916,  143.5451
8042.2920,  21194.5643,  145.7651
8043.7727,  21264.0369,  145.7865
8065.6651,  21385.1326,  146.1063
8180.4767,  21917.5413,  147.8380
8468.1091,  22832.0072,  151.2562
8533.3890,  23247.1238,  151.6265
8578.3259,  23216.6663,  151.7791
8870.7145,  22896.4997,  151.2216
8962.2462,  22707.7720,  150.8035
9157.8144,  22090.8095,  150.1190
9171.0509,  22539.2078,  150.0882
9218.2227,  22576.2313,  149.9912
9324.3213,  22488.0572,  149.8091
9801.2959,  21353.8552,  146.4598
9823.2168,  21382.1728,  146.1423
9986.1316,  20455.9035,  143.5431
10163.6112,  19797.1795,  140.8570
10200.6998,  19642.7973,  140.3985
10244.1949,  19580.3963,  139.9248
10295.3136,  19563.7811,  139.4632
10485.3983,  19190.5451,  138.6396
11006.2406,  19279.0765,  138.8093
11007.1969,  19267.9086,  138.8080
11024.3860,  19181.6145,  138.7842
11057.0152,  19263.3543,  138.7380
11129.2918,  19323.1608,  138.6518
11508.1830,  19713.9644,  140.3452
11540.4803,  19827.3394,  140.7350
11901.3226,  21403.1318,  146.3009
12063.3979,  21977.8797,  148.2692
12164.6748,  22182.1929,  149.0538
12252.7573,  22288.0906,  149.4782
12350.9785,  22276.9962,  149.7493
12504.5908,  22562.6547,  150.0171
13018.2147,  23033.7334,  151.8101
13062.1110,  23020.2192,  151.8510
13302.1781,  22743.0055,  150.7928
13722.2589,  21142.9360,  145.0522
13907.2881,  20353.6345,  142.9952
14195.5680,  20073.1871,  141.3952
14234.1487,  19968.0642,  141.2318
14444.2375,  19624.6307,  140.0534
14475.2077,  19312.7471,  139.8246
14729.1276,  18885.8038,  137.7640
14742.8750,  18806.9242,  137.6683
15033.5002,  19129.3857,  137.2422
15053.5986,  18895.7681,  137.3536
