0.6585   2.6455   0.2795
1.0040   3.0946   0.0228
1.2658   3.4222   0.1606
1.8280   5.8816   0.0516
1.9356   6.1375   0.1117
2.3248   6.8420   0.0163
2.4530   7.0862   0.0611
2.5776   7.2232   0.0126
3.3109  10.4032   0.1731
3.4607  10.5051   0.0344
4.0665  11.9582   0.1046
4.1443  12.3353   0.0475
4.4222  13.6359   0.1060
4.5695  14.3660   0.1292
4.7026  14.3910   0.0821
4.8551  14.4133   0.0202
5.8632  18.0033   0.0163
5.9114  18.0803   0.0117
6.4396  18.7603   0.0385
6.6368  19.7937   0.1148
7.0402  21.6626   0.0431
7.4451  21.9438   0.2587
7.9571  23.8784   0.1204
7.9807  24.0298   0.0399
8.2836  25.3288   0.0233
8.4634  25.6998   0.0871
8.7593  25.6655   0.1162
9.2733  27.9972   0.0068
9.5316  29.0186   0.1680
9.8258  29.4763   0.1061
